ID,Nombre,Marca,Categoria,Precio Lista,Precio Venta,Descuento %,URL Imagen,URL Producto
74080,Camisa Manga Longa Slim Tricoline Algodão Branco,Aramis,Outlet > Roupas > Camisas > Camisa Manga Longa,599.9,339.9,43,https://aramisnova.vtexassets.com/arquivos/ids/1530030/ML021199_001_1-CAMISA-SLIM-TRICOLINE-STRETCH-OUT--MO-.jpg?v=638962170654570000,https://www.aramis.com.br/camisa-manga-longa-slim-tricoline-algodao-branco-ml-02-1199-001/p
68897,Polo Manga Curta Básica Piquet Marinho,Aramis,Roupas > Polos > Polo Manga Curta,229.9,229.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1606204/PO100278_010_1-POLO-BASICA-PIQUET--PA-.jpg?v=639081668446230000,https://www.aramis.com.br/polo-manga-curta-basica-piquet-marinho-po-10-0278-010/p
72822,Polo Manga Curta Frisos New Marinho,Aramis,Outlet > Roupas > Polos > Polo Manga Curta,359.9,199.9,44,https://aramisnova.vtexassets.com/arquivos/ids/1450286/PO012864_010_1-POLO-MC-GOLA-2-FRISOS-NEW--PA-.jpg?v=638857639491900000,https://www.aramis.com.br/polo-manga-curta-frisos-new-marinho-po-01-2864-010/p
56206,Carteira de Couro Textura Cafe,Aramis,Outlet > Acessorios > Carteiras,259.9,79.9,69,https://aramisnova.vtexassets.com/arquivos/ids/983492/AC070120_027_1-CARTEIRA-DE-COURO-TEXTURA-E-REC-OUT--PA-.jpg?v=638042850315770000,https://www.aramis.com.br/carteira-de-couro-textura-cafe-ac-07-0120-027/p
68369,Camiseta Básica Manga Curta Branco,Aramis,Roupas > Camisetas > Camiseta Manga Curta,199.9,199.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1285565/CS120539_001_1-CAMISETA-BASICA--PA-.jpg?v=638555231248770000,https://www.aramis.com.br/camiseta-basica-manga-curta-branco-cs-12-0539-001/p
59132,Paletó Texturizado Super Slim Azul Claro,Aramis,Outlet > Alfaiataria > Paleto,2239.9,699.9,69,https://aramisnova.vtexassets.com/arquivos/ids/1064012/PL160088_003_1-PALETO-TEXTURIZADO-SUPER-SLIM-OUT--PA-.jpg?v=638158780922170000,https://www.aramis.com.br/paleto-texturizado-super-slim-azul-claro-pl-16-0088-003/p
71226,Camisa Manga Longa Algodão Misto Azul Escuro,Aramis,Outlet > Roupas > Camisas > Camisa Manga Longa,679.9,339.9,50,https://aramisnova.vtexassets.com/arquivos/ids/1486005/ML020919_004_1-CAMISA-REG-FALSO-LISO-MISTO-OUT--PA-.jpg?v=638911467788100000,https://www.aramis.com.br/camisa-manga-longa-algodao-misto-azul-escuro-ml-02-0919-004/p
75304,Camiseta Manga Curta Bordado Básica Marrom,Aramis,Outlet > Roupas > Camisetas > Camiseta Manga Curta,259.9,139.9,46,https://aramisnova.vtexassets.com/arquivos/ids/1595688/CS013711_035_1-CAMISETA-MC-BORD-BASICA-CORES-OUT--PA-.jpg?v=639062632189470000,https://www.aramis.com.br/camiseta-manga-curta-bordado-basica-marrom-cs-01-3711-035/p
68899,Polo Manga Curta Básica Piquet Branco,Aramis,Roupas > Polos > Polo Manga Curta,229.9,229.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1605519/PO100278_001_1-POLO-BASICA-PIQUET--PA-.jpg?v=639081490425930000,https://www.aramis.com.br/polo-manga-curta-basica-piquet-branco-po-10-0278-001/p
73931,Polo Algodão Piquet Manga Curta Preto,Aramis,Roupas > Polos > Polo Manga Curta,299.9,299.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1493992/PO100299_007_1-POLO-BASICA-PIQUET--PA-.jpg?v=638924317976570000,https://www.aramis.com.br/polo-algodao-piquet-manga-curta-preto-po-10-0299-007/p
69447,Camisa Manga Longa Slim Poliviscose de Bambu Stretch Branco,Aramis,Roupas > Camisas > Camisa Manga Longa,599.9,599.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1618415/ML020936_001_1-CAMISA-SL-FRESH-BAMBU-ST--PA-.jpg?v=639089386925130000,https://www.aramis.com.br/camisa-manga-longa-slim-poliviscose-de-bambu-stretch-branco-ml-02-0936-001/p
76246,Camisa Manga Longa Slim Button Down Colors Branco,Aramis,Outlet > Roupas > Camisas > Camisa Manga Longa,599.9,299.9,50,https://aramisnova.vtexassets.com/arquivos/ids/1562111/ML050459_001_1-CAMISA-SL-BUTTON-DOWN-COLORS-OUT--MO-.jpg?v=639033965053830000,https://www.aramis.com.br/camisa-manga-longa-slim-button-down-colors-branco-ml-05-0459-001/p
